county,state,sab,fips,per_dem,per_gop,pop_2019,median_income
autauga,Alabama,AL,1001,0.23956854953200002,0.734357893029,55869,62006.0
baldwin,Alabama,AL,1003,0.195653098098,0.773514719949,223234,59404.0
barbour,Alabama,AL,1005,0.466602502406,0.522714148219,24686,37046.0
bibb,Alabama,AL,1007,0.214220393233,0.769661636946,22394,46372.0
blount,Alabama,AL,1009,0.08469902300660001,0.8985187519700001,57826,52011.0
bullock,Alabama,AL,1011,0.750904062965,0.242288874708,10101,30410.0
butler,Alabama,AL,1013,0.427864133564,0.563154864709,19448,36589.0
calhoun,Alabama,AL,1015,0.278558763931,0.6923969942589999,113605,46886.0
chambers,Alabama,AL,1017,0.418275511685,0.5663376397150001,33254,43785.0
cherokee,Alabama,AL,1019,0.14510139960000001,0.838712748738,26196,45566.0
chilton,Alabama,AL,1021,0.159353601753,0.825417693783,44428,48096.0
choctaw,Alabama,AL,1023,0.427765547606,0.5643918547060001,12589,36527.0
clarke,Alabama,AL,1025,0.441558441558,0.549551638837,23622,40421.0
clay,Alabama,AL,1027,0.187766281193,0.7958003651860001,13235,41155.0
cleburne,Alabama,AL,1029,0.10471524801000001,0.878444580527,14910,45487.0
coffee,Alabama,AL,1031,0.204455711013,0.771461999708,52342,49684.0
colbert,Alabama,AL,1033,0.2962722326,0.678875984732,55241,47160.0
conecuh,Alabama,AL,1035,0.469050894085,0.521626165368,12067,32633.0
coosa,Alabama,AL,1037,0.340800306337,0.646371816963,10663,44089.0
covington,Alabama,AL,1039,0.15039828044,0.835883171071,37049,38869.0
crenshaw,Alabama,AL,1041,0.265994881638,0.7215291106849999,13772,38453.0
cullman,Alabama,AL,1043,0.100059016042,0.878105048554,83768,47606.0
dale,Alabama,AL,1045,0.236772842026,0.741150561315,49172,47225.0
dallas,Alabama,AL,1047,0.684783769354,0.30880939669,37196,34491.0
dekalb,Alabama,AL,1049,0.141148508779,0.834892279384,71513,44479.0
elmore,Alabama,AL,1051,0.228586912343,0.748380978187,81209,60870.0
escambia,Alabama,AL,1053,0.308814829422,0.6758693222900001,36633,41795.0
etowah,Alabama,AL,1055,0.238073331186,0.739108432626,102268,46003.0
fayette,Alabama,AL,1057,0.165690580771,0.818081991215,16302,42120.0
franklin,Alabama,AL,1059,0.183772480134,0.7918025930570001,31362,40110.0
geneva,Alabama,AL,1061,0.13054292821,0.854876061412,26271,39034.0
greene,Alabama,AL,1063,0.8239407651170001,0.17235705471,8111,29250.0
hale,Alabama,AL,1065,0.595755305868,0.39600499375799997,14651,38088.0
henry,Alabama,AL,1067,0.285144068854,0.701384557815,17205,44797.0
houston,Alabama,AL,1069,0.250939804901,0.727266238401,105882,50816.0
jackson,Alabama,AL,1071,0.17623286023600002,0.800721674284,51626,47258.0
jefferson,Alabama,AL,1073,0.522493114704,0.450220777564,658573,54413.0
lamar,Alabama,AL,1075,0.14932910114,0.839561390853,13805,41412.0
lauderdale,Alabama,AL,1077,0.254476592894,0.714580166439,92729,49226.0
lawrence,Alabama,AL,1079,0.246939752445,0.733912329891,32924,46563.0
lee,Alabama,AL,1081,0.363928001665,0.595148089062,164542,45681.0
limestone,Alabama,AL,1083,0.237055837563,0.731573604061,98915,55205.0
lowndes,Alabama,AL,1085,0.731276213301,0.262282804074,9726,34019.0
macon,Alabama,AL,1087,0.82727480567,0.159350708733,18068,31259.0
madison,Alabama,AL,1089,0.391508280399,0.559336063158,372909,65978.0
marengo,Alabama,AL,1091,0.512148337596,0.477164778955,18863,39886.0
marion,Alabama,AL,1093,0.110904584882,0.8730638166050001,29709,40550.0
marshall,Alabama,AL,1095,0.140511940512,0.835607035607,96774,47475.0
mobile,Alabama,AL,1097,0.418815450434,0.557492334151,413210,49752.0
monroe,Alabama,AL,1099,0.42317133038800003,0.566617574865,20733,42938.0
montgomery,Alabama,AL,1101,0.620363321068,0.35875311931599996,226486,53076.0
morgan,Alabama,AL,1103,0.224360384869,0.747974635434,119679,55793.0
perry,Alabama,AL,1105,0.727497621313,0.26698382492899997,8923,29813.0
pickens,Alabama,AL,1107,0.418369496524,0.574468085106,19930,38748.0
pike,Alabama,AL,1109,0.38687140115199997,0.5897120921310001,33114,37710.0
randolph,Alabama,AL,1111,0.22606120434399998,0.7598223099699999,22722,42321.0
russell,Alabama,AL,1113,0.500470317726,0.48129180602,57961,40575.0
st. clair,Alabama,AL,1115,0.146295173577,0.8324063579090001,89512,55028.0
shelby,Alabama,AL,1117,0.231100314491,0.734275461656,217702,81823.0
sumter,Alabama,AL,1119,0.7415115005480001,0.247379126897,12427,27910.0
talladega,Alabama,AL,1121,0.364501174062,0.620025287495,79978,46679.0
tallapoosa,Alabama,AL,1123,0.284857328145,0.700767401643,40367,45376.0
tuscaloosa,Alabama,AL,1125,0.388529886914,0.583798404073,209355,50823.0
walker,Alabama,AL,1127,0.153404233492,0.827822042882,63521,42913.0
washington,Alabama,AL,1129,0.278615167216,0.710197833255,16326,45479.0
wilcox,Alabama,AL,1131,0.7102543068089999,0.284987694832,10373,24567.0
winston,Alabama,AL,1133,0.08493417844949999,0.899561189664,23629,41967.0
juneau,Alaska,AK,2110,0.37715947248000004,0.528870018006,31974,91555.0
apache,Arizona,AZ,4001,0.653625596227,0.284849134466,71887,34453.0
cochise,Arizona,AZ,4003,0.35439312119000005,0.580248916495,125922,47383.0
coconino,Arizona,AZ,4005,0.563288744463,0.36887088517399996,143476,56461.0
gila,Arizona,AZ,4007,0.31526310870200003,0.638938218525,54018,45630.0
graham,Arizona,AZ,4009,0.276488818159,0.672166848145,38837,43786.0
greenlee,Arizona,AZ,4011,0.33672525439400003,0.583410422448,9498,58126.0
la paz,Arizona,AZ,4012,0.26728858243799997,0.685662137497,21108,38135.0
maricopa,Arizona,AZ,4013,0.45679712862800004,0.49126241540700005,4485414,66943.0
mohave,Arizona,AZ,4015,0.22220275243,0.736712989796,212181,46521.0
navajo,Arizona,AZ,4017,0.43384450281000003,0.513005168178,110924,42164.0
pima,Arizona,AZ,4019,0.542321530538,0.407523519661,1047279,54250.0
pinal,Arizona,AZ,4021,0.380971163584,0.5741378391340001,462789,52919.0
santa cruz,Arizona,AZ,4023,0.715797936487,0.244539729331,46498,43848.0
yavapai,Arizona,AZ,4025,0.320165984048,0.634425522742,235099,51510.0
yuma,Arizona,AZ,4027,0.449863833755,0.5050663657109999,213787,47497.0
arkansas,Arkansas,AR,5001,0.314415437003,0.6202367439600001,17486,44743.0
ashley,Arkansas,AR,5003,0.299987542046,0.6650056060790001,19657,46871.0
baxter,Arkansas,AR,5005,0.21270181892499998,0.7487737584299999,41932,42957.0
benton,Arkansas,AR,5007,0.29591988288000004,0.644490887102,279141,59450.0
boone,Arkansas,AR,5009,0.183823529412,0.7682880844650001,37432,44259.0
bradley,Arkansas,AR,5011,0.364113906552,0.598009400055,10763,36633.0
calhoun,Arkansas,AR,5013,0.282666666667,0.690666666667,5189,41971.0
carroll,Arkansas,AR,5015,0.31287537537500004,0.635604354354,28380,41212.0
chicot,Arkansas,AR,5017,0.56640154254,0.413593637021,10118,32505.0
clark,Arkansas,AR,5019,0.43108188882200005,0.525762104005,22320,42572.0
clay,Arkansas,AR,5021,0.334392773503,0.632151221144,14551,37406.0
cleburne,Arkansas,AR,5023,0.175551470588,0.7899398395720001,24919,46536.0
