FIPS,Data
1,50379
1,47413
1,46472
2,76113
2,74950
2,76114
4,59859
4,56841
4,53510
5,47497
5,44243
5,43813
6,70094
6,68598
6,67169
8,69666
8,63610
8,65458
9,79602
9,76324
9,73781
10,69929
10,64898
10,63036
11,59223
11,65942
11,77649
12,57292
12,53700
12,50883
13,62626
13,55600
13,52977
15,73528
15,74837
15,74923
16,55452
16,52306
16,50985
17,68761
17,62798
17,61229
18,61348
18,53741
18,52182
19,58251
19,55065
19,56570
20,59956
20,55687
20,55477
21,49696
21,46844
21,46535
22,48063
22,48950
22,46710
23,54962
23,52880
23,53024
24,78027
24,79599
24,78916
25,74535
25,72683
25,74167
26,65923
26,54569
26,52668
27,69530
27,64497
27,65699
28,46239
28,42681
28,42009
29,55986
29,52124
29,51542
30,48739
30,49431
30,50801
31,57928
31,55594
31,56675
32,65796
32,62787
32,55434
33,73007
33,71295
33,71305
34,81389
34,78657
34,76475
35,50376
35,49373
35,46718
36,64043
36,62649
36,62765
37,57831
37,51344
37,50320
38,51071
38,52709
38,61285
39,60446
39,53359
39,52407
40,49294
40,48425
40,49767
41,60387
41,55502
41,56119
42,59192
42,56784
42,56951
44,62120
44,61859
44,61043
45,54729
45,49507
45,48781
46,52072
46,52245
46,54126
47,53663
47,48803
47,48708
48,58927
48,55937
48,57051
49,67486
49,63468
49,65325
50,60299
50,58410
50,57808
51,68890
51,69187
51,68766
53,67560
53,64498
53,66174
54,43828
54,43243
54,44061
55,64630
55,58136
55,56759
56,55924
56,60620
56,60938
1001,62006
1001,60003
1001,55317
1003,59404
1003,56501
1003,52562
1005,37046
1005,37428
1005,33368
1007,46372
1007,47063
1007,43404
1009,52011
1009,51321
1009,47412
1011,30410
1011,n/a
1011,n/a
1013,36589
1013,34544
1013,36326
1015,46886
1015,43274
1015,43686
1017,43785
1017,35454
1017,37342
1019,45566
1019,45846
1019,40041
1021,48096
1021,44490
1021,43501
1023,36527
1023,35014
1023,32122
1025,40421
1025,30916
