county,move_index,state,sab,fips
abbeville,"[4.22, 4.22, 3.8, 3.43, 3.58]",South Carolina,SC,45001
acadia,"[4.08, 4.09, 3.62, 2.91, 3.12]",Louisiana,LA,22001
accomack,"[4.01, 3.99, 3.42, 3.03, 2.98]",Virginia,VA,51001
ada,"[3.75, 3.71, 3.07, 1.12, 1.02]",Idaho,ID,16001
adair,"[3.86, 3.91, 3.29, 2.8200000000000003, 2.99]",Iowa,IA,19001
adair,"[3.86, 3.91, 3.29, 2.8200000000000003, 2.99]",Kentucky,KY,21001
adair,"[3.86, 3.91, 3.29, 2.8200000000000003, 2.99]",Missouri,MO,29001
adair,"[3.86, 3.91, 3.29, 2.8200000000000003, 2.99]",Oklahoma,OK,40001
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Colorado,CO,8001
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Idaho,ID,16003
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Illinois,IL,17001
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Indiana,IN,18001
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Iowa,IA,19003
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Mississippi,MS,28001
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Nebraska,NE,31001
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",North Dakota,ND,38001
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Ohio,OH,39001
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Pennsylvania,PA,42001
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Washington,WA,53001
adams,"[3.89, 3.83, 3.01, 2.2800000000000002, 2.47]",Wisconsin,WI,55001
addison,"[4.02, 3.85, 3.12, 2.19, 2.1]",Vermont,VT,50001
aiken,"[4.01, 4.01, 3.64, 3.34, 3.43]",South Carolina,SC,45003
aitkin,"[3.98, 3.93, 3.07, 2.35, 2.32]",Minnesota,MN,27001
alachua,"[3.89, 3.76, 3.18, 2.44, 2.5300000000000002]",Florida,FL,12001
alamance,"[4.01, 3.98, 3.59, 3.3, 3.31]",North Carolina,NC,37001
alameda,"[3.63, 3.46, 1.16, 0.18, 0.15]",California,CA,6001
alamosa,"[3.45, 3.46, 2.98, 2.15, 2.08]",Colorado,CO,8003
albany,"[3.73, 3.67, 2.85, 1.6600000000000001, 1.65]",New York,NY,36001
albany,"[3.73, 3.67, 2.85, 1.6600000000000001, 1.65]",Wyoming,WY,56001
albemarle,"[3.83, 3.77, 2.79, 1.8399999999999999, 2.02]",Virginia,VA,51003
alcona,"[3.99, 3.8, 3.16, 1.6, 1.79]",Michigan,MI,26001
alcorn,"[4.0, 3.96, 3.45, 3.05, 3.22]",Mississippi,MS,28003
alexander,"[4.12, 4.1, 3.77, 3.51, 3.36]",Illinois,IL,17003
alexander,"[4.12, 4.1, 3.77, 3.51, 3.36]",North Carolina,NC,37003
alexandria,"[3.75, 3.63, 2.44, 1.27, 1.12]",Virginia,VA,51510
alfalfa,"[4.14, 3.99, 2.95, 2.85, 2.93]",Oklahoma,OK,40003
alger,"[3.56, 3.59, 2.89, 1.5899999999999999, 1.5]",Michigan,MI,26003
allamakee,"[3.9699999999999998, 3.86, 2.96, 2.06, 2.69]",Iowa,IA,19005
allegan,"[4.11, 4.0, 3.36, 2.17, 2.12]",Michigan,MI,26005
allegany,"[3.89, 3.85, 3.18, 2.55, 2.5]",Maryland,MD,24001
allegany,"[3.89, 3.85, 3.18, 2.55, 2.5]",New York,NY,36003
alleghany,"[4.02, 3.98, 3.44, 3.08, 3.2]",North Carolina,NC,37005
alleghany,"[4.02, 3.98, 3.44, 3.08, 3.2]",Virginia,VA,51005
allegheny,"[3.77, 3.71, 2.61, 1.33, 1.44]",Pennsylvania,PA,42003
