Median Household Income 
Population Reference Bureau prb.org
"Sources: U.S. Census Bureau, Decennial Census and American Community Survey ."

FIPS,Name,Type,TimeFrame,Data
01,Alabama,State,1999,50379
01,Alabama,State,2006-2010,47413
01,Alabama,State,2013-2017,46472
02,Alaska,State,1999,76113
02,Alaska,State,2006-2010,74950
02,Alaska,State,2013-2017,76114
04,Arizona,State,1999,59859
04,Arizona,State,2006-2010,56841
04,Arizona,State,2013-2017,53510
05,Arkansas,State,1999,47497
05,Arkansas,State,2006-2010,44243
05,Arkansas,State,2013-2017,43813
06,California,State,1999,70094
06,California,State,2006-2010,68598
06,California,State,2013-2017,67169
08,Colorado,State,1999,69666
08,Colorado,State,2006-2010,63610
08,Colorado,State,2013-2017,65458
09,Connecticut,State,1999,79602
09,Connecticut,State,2006-2010,76324
09,Connecticut,State,2013-2017,73781
10,Delaware,State,1999,69929
10,Delaware,State,2006-2010,64898
10,Delaware,State,2013-2017,63036
11,District of Columbia,State,1999,59223
11,District of Columbia,State,2006-2010,65942
11,District of Columbia,State,2013-2017,77649
12,Florida,State,1999,57292
12,Florida,State,2006-2010,53700
12,Florida,State,2013-2017,50883
13,Georgia,State,1999,62626
13,Georgia,State,2006-2010,55600
13,Georgia,State,2013-2017,52977
15,Hawaii,State,1999,73528
15,Hawaii,State,2006-2010,74837
15,Hawaii,State,2013-2017,74923
16,Idaho,State,1999,55452
16,Idaho,State,2006-2010,52306
16,Idaho,State,2013-2017,50985
17,Illinois,State,1999,68761
17,Illinois,State,2006-2010,62798
17,Illinois,State,2013-2017,61229
18,Indiana,State,1999,61348
18,Indiana,State,2006-2010,53741
18,Indiana,State,2013-2017,52182
19,Iowa,State,1999,58251
19,Iowa,State,2006-2010,55065
19,Iowa,State,2013-2017,56570
20,Kansas,State,1999,59956
20,Kansas,State,2006-2010,55687
20,Kansas,State,2013-2017,55477
21,Kentucky,State,1999,49696
21,Kentucky,State,2006-2010,46844
21,Kentucky,State,2013-2017,46535
22,Louisiana,State,1999,48063
22,Louisiana,State,2006-2010,48950
22,Louisiana,State,2013-2017,46710
23,Maine,State,1999,54962
23,Maine,State,2006-2010,52880
23,Maine,State,2013-2017,53024
24,Maryland,State,1999,78027
24,Maryland,State,2006-2010,79599
24,Maryland,State,2013-2017,78916
25,Massachusetts,State,1999,74535
25,Massachusetts,State,2006-2010,72683
25,Massachusetts,State,2013-2017,74167
26,Michigan,State,1999,65923
26,Michigan,State,2006-2010,54569
26,Michigan,State,2013-2017,52668
27,Minnesota,State,1999,69530
27,Minnesota,State,2006-2010,64497
27,Minnesota,State,2013-2017,65699
28,Mississippi,State,1999,46239
28,Mississippi,State,2006-2010,42681
28,Mississippi,State,2013-2017,42009
29,Missouri,State,1999,55986
29,Missouri,State,2006-2010,52124
29,Missouri,State,2013-2017,51542
30,Montana,State,1999,48739
30,Montana,State,2006-2010,49431
30,Montana,State,2013-2017,50801
31,Nebraska,State,1999,57928
31,Nebraska,State,2006-2010,55594
31,Nebraska,State,2013-2017,56675
32,Nevada,State,1999,65796
32,Nevada,State,2006-2010,62787
32,Nevada,State,2013-2017,55434
33,New Hampshire,State,1999,73007
33,New Hampshire,State,2006-2010,71295
33,New Hampshire,State,2013-2017,71305
34,New Jersey,State,1999,81389
34,New Jersey,State,2006-2010,78657
34,New Jersey,State,2013-2017,76475
35,New Mexico,State,1999,50376
35,New Mexico,State,2006-2010,49373
35,New Mexico,State,2013-2017,46718
36,New York,State,1999,64043
36,New York,State,2006-2010,62649
36,New York,State,2013-2017,62765
37,North Carolina,State,1999,57831
37,North Carolina,State,2006-2010,51344
37,North Carolina,State,2013-2017,50320
38,North Dakota,State,1999,51071
38,North Dakota,State,2006-2010,52709
38,North Dakota,State,2013-2017,61285
39,Ohio,State,1999,60446
39,Ohio,State,2006-2010,53359
39,Ohio,State,2013-2017,52407
40,Oklahoma,State,1999,49294
40,Oklahoma,State,2006-2010,48425
40,Oklahoma,State,2013-2017,49767
41,Oregon,State,1999,60387
41,Oregon,State,2006-2010,55502
41,Oregon,State,2013-2017,56119
42,Pennsylvania,State,1999,59192
42,Pennsylvania,State,2006-2010,56784
42,Pennsylvania,State,2013-2017,56951
44,Rhode Island,State,1999,62120
44,Rhode Island,State,2006-2010,61859
44,Rhode Island,State,2013-2017,61043
45,South Carolina,State,1999,54729
45,South Carolina,State,2006-2010,49507
45,South Carolina,State,2013-2017,48781
46,South Dakota,State,1999,52072
46,South Dakota,State,2006-2010,52245
46,South Dakota,State,2013-2017,54126
47,Tennessee,State,1999,53663
47,Tennessee,State,2006-2010,48803
47,Tennessee,State,2013-2017,48708
48,Texas,State,1999,58927
48,Texas,State,2006-2010,55937
48,Texas,State,2013-2017,57051
49,Utah,State,1999,67486
49,Utah,State,2006-2010,63468
49,Utah,State,2013-2017,65325
50,Vermont,State,1999,60299
50,Vermont,State,2006-2010,58410
50,Vermont,State,2013-2017,57808
51,Virginia,State,1999,68890
51,Virginia,State,2006-2010,69187
51,Virginia,State,2013-2017,68766
53,Washington,State,1999,67560
53,Washington,State,2006-2010,64498
53,Washington,State,2013-2017,66174
54,West Virginia,State,1999,43828
54,West Virginia,State,2006-2010,43243
54,West Virginia,State,2013-2017,44061
55,Wisconsin,State,1999,64630
55,Wisconsin,State,2006-2010,58136
55,Wisconsin,State,2013-2017,56759
56,Wyoming,State,1999,55924
56,Wyoming,State,2006-2010,60620
56,Wyoming,State,2013-2017,60938
01001,Autauga County,County,1999,62006
01001,Autauga County,County,2006-2010,60003
01001,Autauga County,County,2013-2017,55317
01003,Baldwin County,County,1999,59404
01003,Baldwin County,County,2006-2010,56501
01003,Baldwin County,County,2013-2017,52562
01005,Barbour County,County,1999,37046
01005,Barbour County,County,2006-2010,37428
01005,Barbour County,County,2013-2017,33368
01007,Bibb County,County,1999,46372
01007,Bibb County,County,2006-2010,47063
01007,Bibb County,County,2013-2017,43404
01009,Blount County,County,1999,52011
01009,Blount County,County,2006-2010,51321
01009,Blount County,County,2013-2017,47412
01011,Bullock County,County,1999,30410
01011,Bullock County,County,2006-2010,n/a
01011,Bullock County,County,2013-2017,n/a
01013,Butler County,County,1999,36589
01013,Butler County,County,2006-2010,34544
01013,Butler County,County,2013-2017,36326
01015,Calhoun County,County,1999,46886
01015,Calhoun County,County,2006-2010,43274
01015,Calhoun County,County,2013-2017,43686
01017,Chambers County,County,1999,43785
01017,Chambers County,County,2006-2010,35454
01017,Chambers County,County,2013-2017,37342
01019,Cherokee County,County,1999,45566
01019,Cherokee County,County,2006-2010,45846
01019,Cherokee County,County,2013-2017,40041
01021,Chilton County,County,1999,48096
01021,Chilton County,County,2006-2010,44490
01021,Chilton County,County,2013-2017,43501
01023,Choctaw County,County,1999,36527
01023,Choctaw County,County,2006-2010,35014
01023,Choctaw County,County,2013-2017,32122
01025,Clarke County,County,1999,40421
01025,Clarke County,County,2006-2010,30916
01025,Clarke County,County,2013-2017,33827
01027,Clay County,County,1999,41155
01027,Clay County,County,2006-2010,40105
01027,Clay County,County,2013-2017,n/a
01029,Cleburne County,County,1999,45487
01029,Cleburne County,County,2006-2010,40649
01029,Cleburne County,County,2013-2017,37396
01031,Coffee County,County,1999,49684
01031,Coffee County,County,2006-2010,47607
01031,Coffee County,County,2013-2017,49821
01033,Colbert County,County,1999,47160
01033,Colbert County,County,2006-2010,44629
01033,Colbert County,County,2013-2017,45477
01035,Conecuh County,County,1999,32633
01035,Conecuh County,County,2006-2010,30358
01035,Conecuh County,County,2013-2017,30434
01037,Coosa County,County,1999,44089
01037,Coosa County,County,2006-2010,40066
01037,Coosa County,County,2013-2017,34792
01039,Covington County,County,1999,38869
01039,Covington County,County,2006-2010,38142
01039,Covington County,County,2013-2017,39467
01041,Crenshaw County,County,1999,38453
01041,Crenshaw County,County,2006-2010,39593
01041,Crenshaw County,County,2013-2017,38937
01043,Cullman County,County,1999,47606
01043,Cullman County,County,2006-2010,43454
01043,Cullman County,County,2013-2017,40997
01045,Dale County,County,1999,47225
01045,Dale County,County,2006-2010,48847
