Index,
Abbeville,3.58
Acadia,3.12
Accomack,2.98
Ada,1.02
Adair,2.99
Adams,2.47
Addison,2.10
Aiken,3.43
Aitkin,2.32
Alachua,2.53
Alamance,3.31
Alameda,0.15
Alamosa,2.08
Albany,1.65
Albemarle,2.02
Alcona,1.79
Alcorn,3.22
Alexander,3.36
Alexandria,1.12
Alfalfa,2.93
Alger,1.50
Allamakee,2.69
Allegan,2.12
Allegany,2.50
Alleghany,3.20
Allegheny,1.44
Allen,2.36
Allendale,3.42
Alpena,2.58
Alpine,0.61
Amador,1.00
Amelia,3.81
Amherst,3.44
Amite,3.25
Anderson,3.45
Andrew,3.01
Andrews,3.27
Androscog..,2.83
Angelina,3.29
Anne Arun..,2.33
Anoka,1.45
Anson,3.58
Antelope,2.83
Antrim,1.89
Apache,1.61
ApacheIndex,
Appanoose,2.66
Appling,3.62
Appomatto,3.65
Aransas,2.95
Arapahoe,0.98
Archer,2.95
Archuleta,1.87
Arenac,2.31
Arkansas,3.19
Arlington,0.23
Armstrong,2.62
Aroostook,3.32
Arthur,1.93
Ascension,2.33
Ashe,3.43
Ashland,2.64
Ashley,3.08
Ashtabula,2.80
Asotin,1.25
Assumption,2.63
Atascosa,3.19
Atchison,2.87
Athens,1.94
Atkinson,3.71
Atlantic,2.23
Atoka,3.33
Attala,3.15
Audrain,2.96
Audubon,2.95
Auglaize,2.47
Augusta,3.52
Aurora,2.49
Austin,3.17
Autauga,3.46
Avery,2.65
Avoyelles,3.10
Baca,2.74
Bacon,3.65
Bailey,3.01
Baker,3.24
Baldwin,3.18
Ballard,3.05
Baltimore,2.49
Bamberg,3.48
Bandera,3.10
BanderaIndex,
Banks,3.82
Banner,3.14
Bannock,1.89
Baraga,2.04
Barber,3.02
Barbour,3.28
Barnes,2.89
Barnstable,2.68
Barnwell,3.50
Barren,2.72
Barron,2.58
Barrow,3.64
Barry,2.52
Bartholom..,2.31
Barton,3.01
Bartow,3.60
Bastrop,3.18
Bates,3.07
Bath,2.97
Baxter,3.24
Bay,2.93
Bayfield,2.02
Baylor,3.02
Beadle,2.44
Bear Lake,2.29
Beaufort,3.23
Beauregard,2.90
Beaver,2.07
Beaverhead,1.50
Becker,2.32
Beckham,3.32
Bedford,3.30
Bee,3.16
Belknap,3.11
Bell,3.20
Belmont,2.89
Beltrami,2.12
Ben Hill,3.52
Benewah,0.72
Bennett,2.47
Bennington,2.54
Benson,2.20
Bent,2.38
Benton,2.43
Benzie,2.03
BenzieIndex,
Bergen,0.96
Berkeley,3.39
Berks,2.21
Berkshire,2.00
Bernalillo,1.28
Berrien,2.44
Bertie,3.47
Bexar,3.05
Bibb,3.36
Bienville,3.07
Big Horn,2.17
Big Stone,2.25
Billings,2.85
Bingham,2.56
Black Hawk,2.37
Blackford,2.69
Bladen,3.53
Blaine,2.11
Blair,2.46
Blanco,3.11
Bland,3.17
Bleckley,3.18
Bledsoe,2.80
Blount,3.36
Blue Earth,1.58
Boise,0.97
Bolivar,3.22
Bollinger,3.35
Bon Homme,2.42
Bond,2.79
Bonner,0.76
Bonneville,1.95
Boone,2.21
Borden,1.95
Bosque,2.81
Bossier,3.10
Botetourt,3.05
Bottineau,2.50
Boulder,0.15
Boundary,0.28
Bourbon,2.99
Bowie,3.22
Bowman,2.60
Box Butte,2.88
Box Elder,2.35
Box ElderIndex,
Boyd,2.66
Boyle,2.32
Bracken,2.71
Bradford,3.26
Bradley,3.25
Branch,2.27
Brantley,3.77
Braxton,2.55
Brazoria,3.14
Brazos,2.22
Breathitt,2.08
Breckinrid..,3.13
